instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.26880393899045885,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
"In this task, you will read 16 stories.",None,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,0.13552096509374678,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,0.11860043799970299,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
You should read the story according to the designated perspective.,None,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,0.1342735670041293,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
The perspectives are as follows:,None,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,0.1350545120658353,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
,,dean.jpg,Dean of Academic Studies,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,space,0.0850158070679754,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
,,business_reporter.jpg,Business Reporter,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,space,0.11933997005689889,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
,,restaurant_critic.jpg,Restaurant Critic,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,space,0.10175931989215314,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
,,matchmaker.jpg,Matchmaker,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,space,0.10186372906900942,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
,,acem.jpg,Airport Customer Experience Manager,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,space,0.1845051869750023,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
,,weddingplanner.jpg,Wedding Planner,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,space,0.31773796200286597,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
,,couples.jpeg,"Couples Therapist
",,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,space,0.33526312990579754,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,space,0.3848641690565273,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,space,0.5519913430325687,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,space,0.16791638499125838,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
There will be four questions to answer per story.,None,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,space,0.13453428691718727,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,space,0.3354111580410972,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
The questions will be the same for the stories read with the same perspective. ,None,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,space,0.2850661190459505,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
"Before reading the stories, you will learn the questions associated with each career perspective in order to help you answer them. ",None,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,space,0.11863921792246401,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
You will have to try to learn these questions with a series of pre-task quizzes.,None,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,space,0.3516700559994206,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
"Once the story-reading task has begun, remember your answers to the questions for each story.",None,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,space,0.3175611279439181,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
"Again, you will be asked about the answers to these questions for each story at end of the experiment. ",None,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,space,0.29949777701403946,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
Press the space bar to begin learning the perspectives and the questions for each one.,None,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,space,0.30189206602517515,,,,,,001,2018_Dec_13_1231,part1,59.99975362893776,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4517966069979593,,,,,,
