count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,from whom,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,[14 43 23 34 31 11 42 22],"['Social' 'Location' 'Social' 'Location' 'Social' 'Location' 'Social'
 'Location']",02202020,space,0.3224874219999947,space,0.40323988299996927,space,0.5367965299997195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
0,"Maria walked into lecture beside Henry, and she was mentally rehearsing what she should say to break up with him.",1,1,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
1,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18633016699959626,space,0.4340677999998661,space,0.35065671199981807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
1,"Simon and Carina noticed each other as they walked into the grocery store at the same time, their carts nearly colliding as they squeezed into the entrance.",1,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
2,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1845034550001401,space,0.41986459199961246,space,0.9527263190002486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
2,"Alex was a distracted, sweaty mess as he walked into the grocery store with Chloe; he was hoping that she wouldn't suspect that he was about to propose.",1,1,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
3,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16958126299959986,space,0.4703528899999583,space,0.45266051300041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
3,Charlie saw Alma as they walked into class and he motioned for her to come sit in the back next to him: they had business to discuss.,1,1,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
3,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
4,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.20062757300001977,space,0.4361498250000295,space,0.4696519049998642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
4,Mr. Shelton and Mr. Gordon shook hands inside the foyer of the restaurant: lunch today was about big business. ,1,1,,,,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
4,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
5,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2530658349996884,space,0.3860771350000505,space,0.5197140899999795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
5,"Thomas, dreading the conversation he was about to have, got to Annika’s Finer Diner early.",1,1,None,None,,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
5,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
6,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3363017680003395,space,0.4696380999998837,space,1.252668192999863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
6,David saw Anna for the first time when she burst into the airport with her bag skidding behind her half-zipped. ,1,1,,,,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
6,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
7,,,,,,,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3366214980001132,space,0.4698090219999358,space,1.003297129999737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
7,"Sven and Isabel walked hurriedly from the cab into the Barcelona Airport after an incredible weekend with Isabel’s family, which had wiped away any doubts Sven had had about his decision to propose. ",1,1,,,,0,7,7,7,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
7,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.02266670300014,space,1.0031510100002379,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4531236769998941,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.31929136800044944,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
,,,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.30309973500015985,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
,,,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.30310893700016095,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
,,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.30296078199990006,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.40312868199998775,Kjdlskjfkdjflsdfjlsdkjfksdl,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7364044900000408,Kkjdslfkjsdfkjsldkfjlsdjflskdjfskdjfsl,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
2,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.552937214999929,Jsfdlkjdlf,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
3,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6060413900004278,Kjdflkjsdlfkj ,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
4,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.43639743999983693,Kdsjflkjdfkl,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
5,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4363740549997601,Kdsjflksdj,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
6,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3863351300001341,Kdsjflskdjf,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
7,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4509713530001136,Kjflkdjs,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.55349494999973,space,0.8367160199995851,,,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
,,,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.43645252999976947,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
,,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3530717519997779,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
,,,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.31980272500004503,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
,,,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3026182879998487,,,,,,,,,,,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Jksdfkjls,,,,,,space,0.3173664099999769,Kdjslkjfds,primed first, , dkjlsfd,S ,Lkjsfdlsjlkdjfs,Jkllkjsdkjfsl,Fkjlsdkfjlsdf,Jksdfkjls,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6030744820000109,L,non-primed first,Kjsdflkjsd,Fkjl kjdflskj,Kjsfd kdjsflkjd f,,Jklkjsdf,Kj,,,,,',001,2019_Feb_21_1210,body_behavioural,3.0.4,60.19324910211573,
