instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.2690783769940026,,,,,,,,,,,1,001,2018_Nov_12_1629,part1,59.9460107077744,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.11812131298938766,,,,,,,,,,,1,001,2018_Nov_12_1629,part1,59.9460107077744,
This job will be assigned to you before each story. ,None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.13514991599367931,,,,,,,,,,,1,001,2018_Nov_12_1629,part1,59.9460107077744,
"While reading each story, you should imagine yourself as having that job. ",None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.11598738198517822,,,,,,,,,,,1,001,2018_Nov_12_1629,part1,59.9460107077744,
There are 8 possible jobs you could be asked to simulate.,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.15188747498905286,,,,,,,,,,,1,001,2018_Nov_12_1629,part1,59.9460107077744,
These jobs are as follows:,None,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,space,0.151558182988083,,,,,,,,,,,1,001,2018_Nov_12_1629,part1,59.9460107077744,
,,acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,space,0.15185214602388442,,,,,,,,,1,001,2018_Nov_12_1629,part1,59.9460107077744,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,space,0.06826327601447701,,,,,,,,,1,001,2018_Nov_12_1629,part1,59.9460107077744,
,,couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,space,0.11881668699788861,,,,,,,,,1,001,2018_Nov_12_1629,part1,59.9460107077744,
,,weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,space,0.03388705200632103,,,,,,,,,1,001,2018_Nov_12_1629,part1,59.9460107077744,
