instruct_text,this_pic,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,0,0,0,0,,,,,space,0.522070070999689,,, ,001,2019_Feb_07_1333,part1_subjective_segmentation,59.82216294732003,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,0,1,1,1,,,,,space,1.285393046999161,,, ,001,2019_Feb_07_1333,part1_subjective_segmentation,59.82216294732003,
You’ll then learn 4 questions associated with each perspective. ,instructions_photos/i2.png,,,0,2,2,2,,,,,space,0.818235654000091,,, ,001,2019_Feb_07_1333,part1_subjective_segmentation,59.82216294732003,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",instructions_photos/i3.png,,,0,3,3,3,,,,,space,0.6190407550002419,,, ,001,2019_Feb_07_1333,part1_subjective_segmentation,59.82216294732003,
"For each story you read, you will be asked to assume one of the perspectives. ",instructions_photos/i3.png,,,0,4,4,4,,,,,space,0.3862590699991415,,, ,001,2019_Feb_07_1333,part1_subjective_segmentation,59.82216294732003,
"While reading, try to remember the perspective and the questions of that perspective. ",instructions_photos/i3.png,,,0,5,5,5,,,,,space,0.3009599509987311,,, ,001,2019_Feb_07_1333,part1_subjective_segmentation,59.82216294732003,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,0,6,6,6,,,,,space,0.11838233700109413,,, ,001,2019_Feb_07_1333,part1_subjective_segmentation,59.82216294732003,
Let’s begin! The 8 perspectives are as follows:,None,,,0,7,7,7,,,,,space,0.5687457170006383,,, ,001,2019_Feb_07_1333,part1_subjective_segmentation,59.82216294732003,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,0,0,0,7,,,space,0.5195484260002559, ,001,2019_Feb_07_1333,part1_subjective_segmentation,59.82216294732003,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,0,1,1,3,,,space,0.33807225700002164, ,001,2019_Feb_07_1333,part1_subjective_segmentation,59.82216294732003,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,0,2,2,2,,,space,0.31901407800069137, ,001,2019_Feb_07_1333,part1_subjective_segmentation,59.82216294732003,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,0,3,3,4,,,space,0.24031174199990346, ,001,2019_Feb_07_1333,part1_subjective_segmentation,59.82216294732003,
